code,entity,continent,year,gdp_per_cap,plastic_waste_per_cap,mismanaged_plastic_waste_per_cap,mismanaged_plastic_waste,coastal_pop,total_pop
AFG,Afghanistan,Asia,2010,1614.255001,NA,NA,NA,NA,31411743
ALB,Albania,Europe,2010,9927.181841,0.069,0.032,29705,2530533,3204284
DZA,Algeria,Africa,2010,12870.6027,0.144,0.086,520555,16556580,35468208
ASM,American Samoa,Oceania,2010,NA,NA,NA,NA,NA,68420
AND,Andorra,Europe,2010,NA,NA,NA,NA,NA,84864
AGO,Angola,Africa,2010,5897.682841,0.062,0.045,62528,3790041,19081912
AIA,Anguilla,North America,2010,NA,0.252,0.01,52,14561,15358
ATG,Antigua and Barbuda,North America,2010,19212.72013,0.66,0.051,1253,66843,88710
ARG,Argentina,South America,2010,18712.06308,0.183,0.026,157777,16449245,40412376
ARM,Armenia,Europe,2010,6702.848006,NA,NA,NA,NA,3092072
ARM,Armenia,Asia,2010,6702.848006,NA,NA,NA,NA,3092072
ABW,Aruba,North America,2010,NA,0.252,0.007,372,137910,107488
AUS,Australia,Oceania,2010,41464.04007,0.112,0.002,13889,17235954,22268384
AUT,Austria,Europe,2010,43336.19785,NA,NA,NA,NA,8393644
AZE,Azerbaijan,Europe,2010,15950.25746,NA,NA,NA,NA,9187783
AZE,Azerbaijan,Asia,2010,15950.25746,NA,NA,NA,NA,9187783
BHS,Bahamas,North America,2010,29221.99118,0.39,0.011,1333,341145,342877
BHR,Bahrain,Asia,2010,40570.53569,0.132,0.016,4376,743574,1261835
BGD,Bangladesh,Asia,2010,2442.728888,0.034,0.03,787327,70874124,148692131
BRB,Barbados,North America,2010,16417.96245,0.57,0.034,3483,276784,273331
BLR,Belarus,Europe,2010,16235.17145,NA,NA,NA,NA,9595421
BEL,Belgium,Europe,2010,41085.91894,0.08,0.002,2743,4747957,10712066
BLZ,Belize,North America,2010,7876.809586,0.172,0.053,3892,202429,311627
BEN,Benin,Africa,2010,1818.778461,0.043,0.036,43015,3235418,8849892
BMU,Bermuda,North America,2010,56395.0078,0.252,0.005,123,66966,64941
BTN,Bhutan,Asia,2010,6419.675599,NA,NA,NA,NA,725940
